Date,Is Self Serve Campaign,Campaign ID,Campaign Name,Type of Promotion,Campaign Start Date,Campaign End Date,Store ID,Store Name,Currency,Orders,Sales,Customer Discounts from Marketing | (Funded by you),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Average Order Value,ROAS,New Customers Acquired,Existing Customers Acquired,Total Customers Acquired,New DP Customers Acquired,Existing DP Customers Acquired,Total DP Customers Acquired
2025-06-02,false,4eba9762-786f-4fc4-aede-412b8bdcb990,mcd-freebm15-060125-063025-newcx-lapsed-1-v2,Custom campaign,2025-06-01,2025-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,34.96,7.89,0.00,0.00,0.00,0.00,0.00,34.96,4.43,0,0,1,0,0,0
2025-06-03,false,4eba9762-786f-4fc4-aede-412b8bdcb990,mcd-freebm15-060125-063025-newcx-lapsed-1-v2,Custom campaign,2025-06-01,2025-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,4,109.81,31.56,0.00,0.00,0.00,0.00,0.00,27.45,3.48,2,2,4,0,1,1
2025-06-04,false,4eba9762-786f-4fc4-aede-412b8bdcb990,mcd-freebm15-060125-063025-newcx-lapsed-1-v2,Custom campaign,2025-06-01,2025-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,51.83,15.78,0.00,0.00,0.00,0.00,0.00,25.92,3.28,0,2,2,0,1,1
2025-06-05,false,64037fd1-de6c-4ed7-9f08-3b0e5eac5333,mcd-freelfry15-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,14,428.48,81.06,0.00,0.00,0.00,0.00,0.00,30.61,5.29,0,14,14,0,8,8
2025-06-05,false,4eba9762-786f-4fc4-aede-412b8bdcb990,mcd-freebm15-060125-063025-newcx-lapsed-1-v2,Custom campaign,2025-06-01,2025-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,42.83,15.78,0.00,0.00,0.00,0.00,0.00,21.42,2.71,2,0,2,2,0,2
2025-06-05,false,2d098b94-d85b-4a8e-b16b-9f61449e9b25,mcd-bfastsammy-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,4,142.40,24.36,0.00,0.00,0.00,0.00,0.00,35.60,5.85,0,4,4,0,2,2
2025-06-06,false,2d098b94-d85b-4a8e-b16b-9f61449e9b25,mcd-bfastsammy-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,4,123.12,23.66,0.00,0.00,0.00,0.00,0.00,30.78,5.20,0,4,4,0,2,2
2025-06-06,false,4eba9762-786f-4fc4-aede-412b8bdcb990,mcd-freebm15-060125-063025-newcx-lapsed-1-v2,Custom campaign,2025-06-01,2025-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,3,85.17,23.67,0.00,0.00,0.00,0.00,0.00,28.39,3.60,0,2,3,0,2,2
2025-06-06,false,64037fd1-de6c-4ed7-9f08-3b0e5eac5333,mcd-freelfry15-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,18,479.08,104.22,0.00,0.00,0.00,0.00,0.00,26.62,4.60,0,18,18,0,12,12
2025-06-07,false,64037fd1-de6c-4ed7-9f08-3b0e5eac5333,mcd-freelfry15-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,21,579.65,121.59,0.00,0.00,0.00,0.00,0.00,27.60,4.77,0,20,21,0,11,11
