Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Currency
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,857,850,32,3.76,161.13,7,0.82,1,0.12,0.00,3.83,5.20,20.14,100.0,0.0,0,4.67,57,3,50,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (4592-OCEAN CITY),659406,5579,4592,289,281,23,8.19,246.40,8,2.77,5,1.73,0.00,3.69,5.36,24.70,99.62,0.38,30,4.33,15,0,10,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (12008-CROSS KEYS),946236,5579,12008,291,286,11,3.85,62.43,5,1.72,0,0.00,0.00,4.26,5.72,25.72,99.63,0.37,30,4.44,18,1,14,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (18170-NO WOODBURY),946241,5579,18170,558,553,28,5.06,229.74,5,0.90,3,0.54,0.36,3.39,4.62,18.10,98.91,1.09,89,4.45,40,3,32,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (18576-WINSLOW),946252,5579,18576,509,499,28,5.61,198.82,10,1.96,3,0.59,0.20,5.01,6.16,21.29,98.55,1.45,119,4.13,32,3,20,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (2401-TURNERSVILLE),946258,5579,2401,307,306,5,1.63,51.54,1,0.33,0,0.00,0.00,3.47,4.82,23.42,99.89,0.11,9,4.96,25,0,24,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,769,768,39,5.08,243.95,1,0.13,1,0.13,0.26,3.80,5.40,23.07,99.27,0.73,60,4.27,51,6,38,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,174,171,3,1.75,13.01,3,1.72,0,0.00,0.00,2.40,3.35,26.07,100.0,0.0,0,4.67,6,0,5,USD
Week of 2025-07-28,2025-07-28,2025-08-03,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,464,460,28,6.09,240.36,4,0.86,0,0.00,0.65,3.29,4.54,19.35,99.6,0.4,30,4.67,24,0,19,USD
Week of 2025-07-21,2025-07-21,2025-07-27,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,846,839,33,3.93,233.76,7,0.83,1,0.12,0.00,3.59,4.85,19.53,100.0,0.0,0,4.47,45,4,37,USD
