Store ID,Store Name,Business ID,Merchant Store ID,Payout Date,Currency,Subtotal,Subtotal Tax Passed by DoorDash to Merchant,Commission,Commission Tax,Drive Charge,Marketing Fees (for historical reference only) | (All discounts and fees),Marketing Fee Tax (for historical reference only) | (Taxes on any applicable marketing fees),Alcohol Flat Fee,Alcohol Flat Fee Tax,Bag Fee,Bag Fee Tax,Cup Fee,Cup Fee Tax,Snap Ebt Discount,Error Charges,Adjustments | (for historical reference only),Total Before Adjustments,Net Payout,Transactions Start Local Date,Transactions End Local Date,Transactions Start UTC Date,Transactions End UTC Date,Payout ID,Payout Status,Tax Remitted by DoorDash to State,Printer Fee,Tablet Fee,Payment Processing Fee,Delivery Order Fee,Pickup Order Fee,Subscription Fee,Customer Discounts from Marketing | (Funded by You),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Adjustments
657157,McDonald's (1447-LINDNWLD-W HORSE),5579,1447,2025-07-28,USD,17248.63,973.06,1952.48,0.00,0.00,3017.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,233.76,82.50,13018.08,13100.58,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502065587,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2560.98,-134.17,0.00,-456.39,134.17,0.00,82.50
659406,McDonald's (4592-OCEAN CITY),5579,4592,2025-07-28,USD,7761.69,454.87,878.72,0.00,0.00,1058.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151.52,37.83,6128.18,6166.01,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502061591,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-895.78,-22.26,0.00,-162.36,22.26,0.00,37.83
946236,McDonald's (12008-CROSS KEYS),5579,12008,2025-07-28,USD,6106.48,350.60,706.68,0.00,0.00,909.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.83,29.35,4763.12,4792.47,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502066230,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-814.41,-58.18,0.00,-95.04,58.18,0.00,29.35
946241,McDonald's (18170-NO WOODBURY),5579,18170,2025-07-28,USD,13700.43,794.27,1587.53,0.00,0.00,1961.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,283.74,59.81,10662.30,10722.11,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502064245,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1711.00,-103.98,0.00,-250.13,103.98,0.00,59.81
946252,McDonald's (18576-WINSLOW),5579,18576,2025-07-28,USD,11211.50,658.45,1418.76,0.00,0.00,1366.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,279.30,50.52,8805.77,8856.29,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502064957,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1274.05,-118.23,0.00,-92.07,118.23,0.00,50.52
946258,McDonald's (2401-TURNERSVILLE),5579,2401,2025-07-28,USD,6987.92,389.53,784.49,0.00,0.00,1287.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.12,34.56,5237.24,5271.80,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502065547,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1107.14,-40.26,0.00,-180.46,40.26,0.00,34.56
946269,McDonald's (4884-WILLIAMSTOWN),5579,4884,2025-07-28,USD,16151.64,928.96,1871.70,0.00,0.00,2413.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.66,73.89,12518.17,12592.06,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502067855,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2129.93,-172.38,0.00,-283.14,172.38,0.00,73.89
1544219,McDonald's (22137 - WRIGHTSTOWN),5579,22137,2025-07-28,USD,4522.63,274.07,534.77,0.00,0.00,410.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.27,21.91,3822.33,3844.24,2025-07-21,2025-07-27,2025-07-21,2025-07-28,502071067,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-386.57,-32.00,0.00,-23.76,32.00,0.00,21.91
1544237,"McDonald's (21452 - RT 545, BROWNS MILLS)",5579,21452,2025-07-28,USD,10017.17,597.27,1184.22,0.00,0.00,1071.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224.16,53.39,8134.90,8188.29,2025-07-21,2025-07-28,2025-07-21,2025-07-28,502061228,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-999.88,-80.46,0.00,-71.28,80.46,0.00,53.39
657157,McDonald's (1447-LINDNWLD-W HORSE),5579,1447,2025-07-21,USD,16399.78,1018.86,2044.83,0.00,0.00,1100.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,394.71,79.65,13878.32,13957.97,2025-07-14,2025-07-21,2025-07-14,2025-07-21,500281672,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1021.58,-191.96,0.00,-79.20,191.96,0.00,79.65
659406,McDonald's (4592-OCEAN CITY),5579,4592,2025-07-21,USD,7622.44,473.18,928.31,0.00,0.00,500.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.52,34.61,6489.62,6524.23,2025-07-14,2025-07-21,2025-07-14,2025-07-21,500280888,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-479.38,-41.29,0.00,-20.79,41.29,0.00,34.61
946236,McDonald's (12008-CROSS KEYS),5579,12008,2025-07-21,USD,5951.78,340.13,685.53,0.00,0.00,1009.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.77,29.61,4541.39,4571.00,2025-07-14,2025-07-21,2025-07-14,2025-07-21,500286031,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-817.16,-37.95,0.00,-192.06,37.95,0.00,29.61
946241,McDonald's (18170-NO WOODBURY),5579,18170,2025-07-21,USD,11974.14,680.41,1363.45,0.00,0.00,2118.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.38,67.54,8946.98,9014.52,2025-07-14,2025-07-21,2025-07-14,2025-07-21,500284365,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1702.54,-67.80,0.00,-416.20,67.80,0.00,67.54
946252,McDonald's (18576-WINSLOW),5579,18576,2025-07-21,USD,10145.53,614.37,1334.69,0.00,0.00,960.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.54,211.25,8307.08,8518.33,2025-07-14,2025-07-21,2025-07-14,2025-07-21,500286824,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-874.46,-79.85,0.00,-86.13,79.85,0.00,211.25
946258,McDonald's (2401-TURNERSVILLE),5579,2401,2025-07-21,USD,6921.33,427.79,860.24,0.00,0.00,508.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.27,33.13,5916.96,5950.09,2025-07-14,2025-07-21,2025-07-14,2025-07-21,500284693,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-466.08,-105.25,0.00,-42.57,105.25,0.00,33.13
946269,McDonald's (4884-WILLIAMSTOWN),5579,4884,2025-07-21,USD,14737.67,840.19,1706.82,0.00,0.00,2561.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,274.65,77.70,11034.48,11112.18,2025-07-14,2025-07-21,2025-07-14,2025-07-21,500283100,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2057.01,-43.56,0.00,-504.90,43.56,0.00,77.70
1544219,McDonald's (22137 - WRIGHTSTOWN),5579,22137,2025-07-21,USD,4382.98,261.91,506.04,0.00,0.00,469.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.18,26.97,3621.95,3648.92,2025-07-14,2025-07-20,2025-07-14,2025-07-21,500280624,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-429.13,-8.72,0.00,-40.59,8.72,0.00,26.97
1544237,"McDonald's (21452 - RT 545, BROWNS MILLS)",5579,21452,2025-07-21,USD,10677.99,635.81,1248.83,0.00,0.00,1196.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.89,68.51,8747.60,8816.11,2025-07-14,2025-07-20,2025-07-14,2025-07-21,500279911,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1079.66,-91.68,0.00,-116.82,91.68,0.00,68.51
657157,McDonald's (1447-LINDNWLD-W HORSE),5579,1447,2025-07-14,USD,16018.78,956.74,1918.11,0.00,0.00,1633.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187.08,77.41,13236.66,13314.07,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498486211,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1579.22,-163.93,0.00,-54.45,163.93,0.00,77.41
659406,McDonald's (4592-OCEAN CITY),5579,4592,2025-07-14,USD,6904.59,422.61,822.82,0.00,0.00,545.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.88,49.56,5820.90,5870.46,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498487017,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-525.80,-50.42,0.00,-19.80,50.42,0.00,49.56
946236,McDonald's (12008-CROSS KEYS),5579,12008,2025-07-14,USD,5939.29,334.22,675.66,0.00,0.00,1025.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.29,29.20,4500.43,4529.63,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498491025,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-894.45,-39.44,0.00,-130.68,39.44,0.00,29.20
946241,McDonald's (18170-NO WOODBURY),5579,18170,2025-07-14,USD,13460.22,761.70,1524.93,0.00,0.00,2252.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,259.36,76.21,10184.92,10261.13,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498486127,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1963.69,-86.13,0.00,-289.02,86.13,0.00,76.21
946252,McDonald's (18576-WINSLOW),5579,18576,2025-07-14,USD,11276.51,667.18,1445.91,0.00,0.00,1299.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,384.57,70.61,8813.59,8884.20,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498490073,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1205.57,-137.57,0.00,-94.05,137.57,0.00,70.61
946258,McDonald's (2401-TURNERSVILLE),5579,2401,2025-07-14,USD,6593.25,386.16,779.38,0.00,0.00,797.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.54,38.09,5362.92,5401.01,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498490174,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-764.90,-66.48,0.00,-32.67,66.48,0.00,38.09
946269,McDonald's (4884-WILLIAMSTOWN),5579,4884,2025-07-14,USD,15592.12,889.37,1797.55,0.00,0.00,2525.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.12,76.26,11923.25,11999.51,2025-07-07,2025-07-14,2025-07-07,2025-07-14,498488303,PAID,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2167.19,-91.54,0.00,-358.38,91.54,0.00,76.26
