Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Gross Sales,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,AOV,Total Commission,Total Promotion Fees | (for historical reference only),Total Promotion Sales | (for historical reference only),Total Ad Fees | (for historical reference only),Total Ad Sales | (for historical reference only),Currency
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (12008-CROSS KEYS),946236,5579,12008,6108.26,286,286,21.36,718.48,780.30,2555.06,117.13,571.85,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,17584.89,853,850,20.62,1979.54,3347.61,16204.37,225.93,996.84,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (18170-NO WOODBURY),946241,5579,18170,12331.71,553,553,22.30,1452.07,1532.86,5296.64,165.10,748.21,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (18576-WINSLOW),946252,5579,18576,10593.44,502,499,21.10,1378.87,1000.04,3194.38,130.77,597.89,USD
Week of 2025-07-28,2025-07-28,2025-08-03,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,10963.16,463,460,23.68,1311.95,900.86,2863.32,141.12,711.63,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,4231.25,173,171,24.46,509.24,348.63,1202.15,42.36,147.92,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (2401-TURNERSVILLE),946258,5579,2401,7010.54,306,306,22.91,798.96,1265.51,6614.00,77.56,271.01,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (4592-OCEAN CITY),659406,5579,4592,6692.24,283,281,23.65,765.78,1051.03,6238.84,74.86,348.05,USD
Week of 2025-07-28,2025-07-28,2025-08-03,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,17064.09,768,768,22.22,2028.77,2056.77,7376.59,286.73,1220.21,USD
Week of 2025-07-21,2025-07-21,2025-07-27,McDonald's (12008-CROSS KEYS),946236,5579,12008,6205.10,281,279,22.08,718.25,920.13,3545.93,6.00,48.54,USD
Week of 2025-07-21,2025-07-21,2025-07-27,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,17148.45,841,839,20.39,1942.59,2991.37,12739.94,12.00,83.85,USD
Week of 2025-07-21,2025-07-21,2025-07-27,McDonald's (18170-NO WOODBURY),946241,5579,18170,13704.57,635,631,21.58,1586.67,1965.00,8204.30,27.00,291.34,USD
Week of 2025-07-21,2025-07-21,2025-07-27,McDonald's (18576-WINSLOW),946252,5579,18576,11159.47,523,521,21.34,1414.69,1342.85,4561.08,21.00,141.80,USD
Week of 2025-07-21,2025-07-21,2025-07-27,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,10017.17,441,439,22.71,1184.22,1071.16,3819.16,21.00,189.50,USD
Week of 2025-07-21,2025-07-21,2025-07-27,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,4522.63,188,178,24.06,534.77,410.33,1477.20,3.00,28.23,USD
Week of 2025-07-21,2025-07-21,2025-07-27,McDonald's (2401-TURNERSVILLE),946258,5579,2401,6990.64,324,324,21.58,785.72,1279.62,5169.33,9.00,76.41,USD
Week of 2025-07-21,2025-07-21,2025-07-27,McDonald's (4592-OCEAN CITY),659406,5579,4592,7849.93,304,302,25.82,889.09,1057.35,5955.74,3.00,46.41,USD
Week of 2025-07-21,2025-07-21,2025-07-27,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,16149.76,730,727,22.12,1870.82,2420.73,9721.93,12.00,77.67,USD
Week of 2025-07-14,2025-07-14,2025-07-20,McDonald's (12008-CROSS KEYS),946236,5579,12008,5870.32,268,265,21.90,675.71,1001.60,5454.55,3.00,11.58,USD
Week of 2025-07-14,2025-07-14,2025-07-20,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,16499.70,813,811,20.29,2057.60,1109.65,4951.38,45.00,287.65,USD
Week of 2025-07-14,2025-07-14,2025-07-20,McDonald's (18170-NO WOODBURY),946241,5579,18170,11962.92,561,561,21.32,1362.30,2120.20,11270.38,27.00,172.00,USD
